ticker,year_from,year_to,lexical_similarity,lexical_drift,semantic_similarity,semantic_drift,lex_minus_sem
CMA,2016,2017,0.9967,0.0033,0.9941,0.0059,-0.0026
CMA,2017,2018,0.9933,0.0067,0.9863,0.0137,-0.007
CMA,2018,2019,0.9991,0.0009,0.997,0.003,-0.0021
CMA,2019,2020,0.9968,0.0032,0.9898,0.0102,-0.007
CMA,2020,2021,0.9982,0.0018,0.995,0.005,-0.0032
CMA,2021,2022,0.9981,0.0019,0.9947,0.0053,-0.0034
FITB,2016,2017,0.9983,0.0017,0.996,0.004,-0.0023
FITB,2017,2018,0.9967,0.0033,0.9929,0.0071,-0.0038
FITB,2018,2019,0.978,0.022,0.9851,0.0149,0.0071
FITB,2019,2020,0.9982,0.0018,0.9941,0.0059,-0.0041
FITB,2020,2021,0.9985,0.0015,0.9976,0.0024,-0.0009
FITB,2021,2022,0.9992,0.0008,0.9983,0.0017,-0.0009
KEY,2016,2017,0.9725,0.0275,0.9947,0.0053,0.0222
KEY,2017,2018,0.9604,0.0396,0.994,0.006,0.0336
KEY,2018,2019,0.9295,0.0705,0.9914,0.0086,0.0619
KEY,2019,2020,0.8956,0.1044,0.9901,0.0099,0.0945
KEY,2020,2021,0.9055,0.0945,0.9933,0.0067,0.0878
KEY,2021,2022,0.904,0.096,0.9891,0.0109,0.0851
PACW,2016,2017,0.9222,0.0778,0.9946,0.0054,0.0724
PACW,2017,2018,0.8955,0.1045,0.9945,0.0055,0.099
PACW,2018,2019,0.9647,0.0353,0.997,0.003,0.0323
PACW,2019,2020,0.943,0.057,0.9928,0.0072,0.0498
PACW,2020,2021,0.9795,0.0205,0.9977,0.0023,0.0182
PACW,2021,2022,0.9595,0.0405,0.9968,0.0032,0.0373
RF,2016,2017,0.9743,0.0257,0.9967,0.0033,0.0224
RF,2017,2018,0.9783,0.0217,0.996,0.004,0.0177
RF,2018,2019,0.951,0.049,0.9959,0.0041,0.0449
RF,2019,2020,0.9033,0.0967,0.9898,0.0102,0.0865
RF,2020,2021,0.928,0.072,0.994,0.006,0.066
RF,2021,2022,0.8354,0.1646,0.982,0.018,0.1466
SIVB,2016,2017,0.9786,0.0214,0.9974,0.0026,0.0188
SIVB,2017,2018,0.9781,0.0219,0.9981,0.0019,0.02
SIVB,2018,2019,0.9048,0.0952,0.9938,0.0062,0.089
SIVB,2019,2020,0.7658,0.2342,0.9864,0.0136,0.2206
SIVB,2020,2021,0.9135,0.0865,0.996,0.004,0.0825
SIVB,2021,2022,0.9748,0.0252,0.9958,0.0042,0.021
WAL,2016,2017,0.9402,0.0598,0.9933,0.0067,0.0531
WAL,2017,2018,0.9844,0.0156,0.995,0.005,0.0106
WAL,2018,2019,0.9665,0.0335,0.9959,0.0041,0.0294
WAL,2019,2020,0.9046,0.0954,0.9837,0.0163,0.0791
WAL,2020,2021,0.6127,0.3873,0.9199,0.0801,0.3072
WAL,2021,2022,0.9272,0.0728,0.9906,0.0094,0.0634
ZION,2016,2017,0.9655,0.0345,0.9937,0.0063,0.0282
ZION,2017,2018,0.4647,0.5353,0.9191,0.0809,0.4544
ZION,2018,2019,0.9755,0.0245,0.9949,0.0051,0.0194
ZION,2019,2020,0.8776,0.1224,0.9576,0.0424,0.08
ZION,2020,2021,0.8045,0.1955,0.9694,0.0306,0.1649
ZION,2021,2022,0.8637,0.1363,0.991,0.009,0.1273
