ticker,year_from,year_to,lexical_similarity,lexical_drift
CMA,2016,2017,0.9967,0.0033
CMA,2017,2018,0.9933,0.0067
CMA,2018,2019,0.9991,0.0009
CMA,2019,2020,0.9968,0.0032
CMA,2020,2021,0.9982,0.0018
CMA,2021,2022,0.9981,0.0019
FITB,2016,2017,0.9983,0.0017
FITB,2017,2018,0.9967,0.0033
FITB,2018,2019,0.978,0.022
FITB,2019,2020,0.9982,0.0018
FITB,2020,2021,0.9985,0.0015
FITB,2021,2022,0.9992,0.0008
KEY,2016,2017,0.9725,0.0275
KEY,2017,2018,0.9604,0.0396
KEY,2018,2019,0.9295,0.0705
KEY,2019,2020,0.8956,0.1044
KEY,2020,2021,0.9055,0.0945
KEY,2021,2022,0.904,0.096
PACW,2016,2017,0.9222,0.0778
PACW,2017,2018,0.8955,0.1045
PACW,2018,2019,0.9647,0.0353
PACW,2019,2020,0.943,0.057
PACW,2020,2021,0.9795,0.0205
PACW,2021,2022,0.9595,0.0405
RF,2016,2017,0.9743,0.0257
RF,2017,2018,0.9783,0.0217
RF,2018,2019,0.951,0.049
RF,2019,2020,0.9033,0.0967
RF,2020,2021,0.928,0.072
RF,2021,2022,0.8354,0.1646
SIVB,2016,2017,0.9786,0.0214
SIVB,2017,2018,0.9781,0.0219
SIVB,2018,2019,0.9048,0.0952
SIVB,2019,2020,0.7658,0.2342
SIVB,2020,2021,0.9135,0.0865
SIVB,2021,2022,0.9748,0.0252
WAL,2016,2017,0.9402,0.0598
WAL,2017,2018,0.9844,0.0156
WAL,2018,2019,0.9665,0.0335
WAL,2019,2020,0.9046,0.0954
WAL,2020,2021,0.6127,0.3873
WAL,2021,2022,0.9272,0.0728
ZION,2016,2017,0.9655,0.0345
ZION,2017,2018,0.4647,0.5353
ZION,2018,2019,0.9755,0.0245
ZION,2019,2020,0.8776,0.1224
ZION,2020,2021,0.8045,0.1955
ZION,2021,2022,0.8637,0.1363
