ticker,fiscal_year,fog,words_per_sentence,pct_complex,n_sentences
CMA,2016,23.475,27.3,31.39,211
CMA,2017,23.392,27.42,31.06,244
CMA,2018,23.892,28.57,31.15,287
CMA,2019,24.121,28.97,31.33,272
CMA,2020,24.36,29.63,31.27,294
CMA,2021,24.42,29.54,31.51,286
CMA,2022,24.154,29.11,31.27,298
FITB,2016,22.595,31.42,25.06,362
FITB,2017,22.763,31.68,25.22,365
FITB,2018,23.219,32.55,25.5,390
FITB,2019,22.863,31.57,25.58,387
FITB,2020,22.752,31.53,25.35,435
FITB,2021,22.896,31.69,25.55,527
FITB,2022,22.949,31.76,25.61,506
KEY,2016,21.696,28.2,26.04,262
KEY,2017,21.987,28.81,26.16,250
KEY,2018,22.027,28.7,26.37,266
KEY,2019,22.076,28.75,26.44,281
KEY,2020,21.393,27.57,25.91,341
KEY,2021,21.782,28.2,26.26,339
KEY,2022,22.229,28.66,26.92,366
PACW,2016,23.462,31.63,27.03,635
PACW,2017,23.188,31.42,26.55,661
PACW,2018,23.332,31.06,27.27,668
PACW,2019,23.515,31.68,27.11,672
PACW,2020,23.717,32.09,27.2,765
PACW,2021,23.663,31.9,27.26,794
PACW,2022,23.632,31.83,27.25,797
RF,2016,22.345,29.4,26.46,431
RF,2017,22.468,29.42,26.75,414
RF,2018,22.462,29.61,26.54,435
RF,2019,22.462,29.84,26.31,446
RF,2020,22.402,29.9,26.1,467
RF,2021,22.972,31.04,26.39,481
RF,2022,23.588,31.79,27.18,551
SIVB,2016,23.888,33.79,25.93,374
SIVB,2017,24.043,34.28,25.82,368
SIVB,2018,24.248,34.51,26.11,383
SIVB,2019,24.146,34.23,26.14,394
SIVB,2020,24.15,34.69,25.69,490
SIVB,2021,24.11,34.33,25.94,528
SIVB,2022,24.012,33.89,26.14,553
WAL,2016,24.175,32.22,28.22,250
WAL,2017,24.241,32.22,28.39,269
WAL,2018,24.072,31.91,28.27,287
WAL,2019,24.307,32.72,28.05,288
WAL,2020,25.292,35.02,28.21,324
WAL,2021,23.311,32.41,25.86,355
WAL,2022,23.092,31.72,26.01,348
ZION,2016,22.686,27.87,28.84,206
ZION,2017,22.67,28.17,28.51,202
ZION,2018,22.372,30.14,25.79,225
ZION,2019,21.84,28.21,26.39,236
ZION,2020,22.24,28.43,27.17,265
ZION,2021,22.177,27.1,28.34,210
ZION,2022,22.208,27.21,28.31,219
