ticker,fiscal_year,negative_pct,positive_pct,uncertainty_pct,litigious_pct,strong_modal_pct,weak_modal_pct,constraining_pct,total_words
CMA,2016,4.184,0.7812,4.4444,1.2674,0.2604,2.8819,0.7465,5760
CMA,2017,3.9456,0.7772,4.2146,1.2106,0.2989,2.6005,0.7473,6691
CMA,2018,4.3165,0.756,3.8532,1.3901,0.2439,2.4387,0.695,8201
CMA,2019,4.3776,0.6598,3.9462,1.3958,0.2284,2.4236,0.6979,7881
CMA,2020,4.225,0.6544,3.8462,1.3548,0.2067,2.3766,0.6544,8710
CMA,2021,4.3442,0.6984,3.9181,1.3968,0.2367,2.4148,0.7812,8448
CMA,2022,4.4265,0.6801,4.0231,1.3833,0.2075,2.4092,0.7608,8675
FITB,2016,4.1934,0.633,3.7714,1.6176,0.2637,2.6198,1.1341,11375
FITB,2017,4.4531,0.5707,3.8824,1.8504,0.2594,2.7064,1.0722,11565
FITB,2018,4.3725,0.6618,3.7422,1.8041,0.3545,2.5762,1.166,12693
FITB,2019,4.5748,0.6711,3.8874,1.8005,0.2046,2.6434,0.9657,12219
FITB,2020,4.5859,0.5249,3.6818,1.7425,0.2114,2.4716,0.9478,13716
FITB,2021,4.4793,0.539,3.8565,1.6588,0.2216,2.581,0.9641,16699
FITB,2022,4.4617,0.5538,3.9328,1.7237,0.2302,2.6198,0.9396,16070
KEY,2016,3.993,0.8257,3.817,1.4077,0.1624,2.1657,0.7851,7388
KEY,2017,4.0683,0.7776,3.8462,1.4302,0.1111,2.2216,0.8053,7202
KEY,2018,4.0346,0.6812,3.7464,1.4016,0.1441,2.1745,0.7467,7634
KEY,2019,4.2208,0.5818,3.701,1.6215,0.1114,2.1537,0.755,8079
KEY,2020,4.3816,0.5636,3.6584,1.5314,0.1276,2.1057,0.6381,9403
KEY,2021,4.1736,0.5649,3.6925,1.5481,0.0941,2.1548,0.7636,9560
KEY,2022,4.7006,0.6007,3.7376,1.6495,0.124,2.1739,0.7914,10488
PACW,2016,2.5644,0.6423,2.1361,1.2548,0.2241,1.2,1.0008,20083
PACW,2017,2.3109,0.6644,1.998,1.1555,0.1878,1.1266,0.9966,20771
PACW,2018,2.4247,0.6411,2.0246,1.2389,0.1687,1.1328,1.1183,20745
PACW,2019,2.5133,0.6436,2.0858,1.2543,0.202,1.1791,1.104,21287
PACW,2020,2.485,0.7048,2.1143,1.2344,0.2159,1.1284,1.0592,24547
PACW,2021,2.3608,0.6869,2.1713,1.2673,0.2053,1.1528,1.0975,25330
PACW,2022,2.4995,0.7806,2.192,1.1788,0.1853,1.1354,1.1197,25365
RF,2016,4.0167,0.6471,3.488,1.3415,0.3157,2.47,1.0101,12672
RF,2017,4.2282,0.5829,3.5468,1.4532,0.3202,2.5944,1.0673,12180
RF,2018,4.1767,0.5279,3.4858,1.5449,0.3494,2.5231,1.0403,12881
RF,2019,4.0799,0.4884,3.4563,1.5103,0.3456,2.5096,0.9542,13309
RF,2020,4.0458,0.4511,3.4515,1.3749,0.4082,2.4561,0.9882,13965
RF,2021,3.9984,0.5157,3.4492,1.6208,0.355,2.3977,0.9109,14931
RF,2022,4.5953,0.5937,3.6648,1.9352,0.2854,2.4717,0.9419,17518
SIVB,2016,3.9566,0.6014,3.4264,1.5273,0.2691,2.2553,1.4719,12637
SIVB,2017,4.0821,0.6183,3.4401,1.4902,0.2299,2.2194,1.3633,12616
SIVB,2018,4.0176,0.628,3.3669,1.5359,0.2194,2.179,1.3846,13217
SIVB,2019,4.1602,0.6377,3.3519,1.498,0.2299,2.2395,1.2607,13485
SIVB,2020,4.3187,0.606,3.5714,1.4003,0.3118,2.3241,1.1709,16996
SIVB,2021,4.2257,0.5958,3.5913,1.3626,0.2372,2.306,1.1254,18127
SIVB,2022,4.3223,0.555,3.6126,1.3607,0.1974,2.3372,1.1099,18740
WAL,2016,3.8242,0.8815,3.4517,1.043,0.298,2.1356,0.9188,8054
WAL,2017,3.8426,0.8424,3.4041,1.1193,0.3808,2.1925,0.9231,8666
WAL,2018,3.7567,0.7972,3.3745,1.1248,0.3604,2.1514,0.8846,9157
WAL,2019,3.6935,0.8066,3.322,1.0932,0.3715,2.1333,0.8703,9422
WAL,2020,3.7811,0.7403,3.3404,1.1193,0.379,2.0712,0.8461,11346
WAL,2021,3.9802,0.6778,3.3806,1.3122,0.3302,2.1552,0.8517,11507
WAL,2022,3.9221,0.6975,3.3967,1.3949,0.317,2.2283,0.9511,11040
ZION,2016,4.0404,0.4876,4.1971,1.7764,0.2961,2.0724,1.3584,5742
ZION,2017,3.9192,0.4745,4.2355,1.8102,0.2988,2.0211,1.3708,5690
ZION,2018,3.2291,0.5161,3.7305,1.7694,0.3096,1.9316,1.1206,6782
ZION,2019,3.455,0.6009,3.6202,1.6674,0.3155,1.9378,1.0515,6657
ZION,2020,3.4112,0.5442,3.9156,1.4202,0.3716,1.9512,0.9955,7534
ZION,2021,4.0583,0.5446,4.3746,1.7569,0.2987,2.2136,1.0717,5692
ZION,2022,4.4135,0.5034,4.6652,1.8459,0.2349,2.3997,1.0237,5959
