ticker,fiscal_year,n_words,status,bank_median,pct_of_median
SIVB,2016,12561,ok,13430.0,93.5
SIVB,2017,12526,ok,13430.0,93.3
SIVB,2018,13135,ok,13430.0,97.8
SIVB,2019,13430,ok,13430.0,100.0
SIVB,2020,16926,ok,13430.0,126.0
SIVB,2021,18036,ok,13430.0,134.3
SIVB,2022,18638,ok,13430.0,138.8
PACW,2016,20391,ok,21634.0,94.3
PACW,2017,21270,ok,21634.0,98.3
PACW,2018,21110,ok,21634.0,97.6
PACW,2019,21634,ok,21634.0,100.0
PACW,2020,24873,ok,21634.0,115.0
PACW,2021,25686,ok,21634.0,118.7
PACW,2022,25689,ok,21634.0,118.7
WAL,2016,7846,ok,9217.0,85.1
WAL,2017,8468,ok,9217.0,91.9
WAL,2018,8956,ok,9217.0,97.2
WAL,2019,9217,ok,9217.0,100.0
WAL,2020,11104,ok,9217.0,120.5
WAL,2021,11503,ok,9217.0,124.8
WAL,2022,11032,ok,9217.0,119.7
ZION,2016,5685,ok,5927.0,95.9
ZION,2017,5643,ok,5927.0,95.2
ZION,2018,6699,ok,5927.0,113.0
ZION,2019,6577,ok,5927.0,111.0
ZION,2020,7493,ok,5927.0,126.4
ZION,2021,5667,ok,5927.0,95.6
ZION,2022,5927,ok,5927.0,100.0
CMA,2016,5665,ok,8070.0,70.2
CMA,2017,6590,ok,8070.0,81.7
CMA,2018,8070,ok,8070.0,100.0
CMA,2019,7758,ok,8070.0,96.1
CMA,2020,8595,ok,8070.0,106.5
CMA,2021,8323,ok,8070.0,103.1
CMA,2022,8551,ok,8070.0,106.0
KEY,2016,7343,ok,8048.0,91.2
KEY,2017,7169,ok,8048.0,89.1
KEY,2018,7615,ok,8048.0,94.6
KEY,2019,8048,ok,8048.0,100.0
KEY,2020,9384,ok,8048.0,116.6
KEY,2021,9519,ok,8048.0,118.3
KEY,2022,10414,ok,8048.0,129.4
RF,2016,12645,ok,13252.0,95.4
RF,2017,12141,ok,13252.0,91.6
RF,2018,12836,ok,13252.0,96.9
RF,2019,13252,ok,13252.0,100.0
RF,2020,13911,ok,13252.0,105.0
RF,2021,14857,ok,13252.0,112.1
RF,2022,17495,ok,13252.0,132.0
FITB,2016,11167,ok,12475.0,89.5
FITB,2017,11364,ok,12475.0,91.1
FITB,2018,12475,ok,12475.0,100.0
FITB,2019,11999,ok,12475.0,96.2
FITB,2020,13475,ok,12475.0,108.0
FITB,2021,16443,ok,12475.0,131.8
FITB,2022,15841,ok,12475.0,127.0
